year,building-type,benchmark-target,building-type-shorthand,unit,construction-delivery-type
2050,Office - Trading Floors,93.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2025,Retail - Supermarket,200.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2026,Retail - Supermarket,194.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2027,Retail - Supermarket,188.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2028,Retail - Supermarket,182.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2029,Retail - Supermarket,176.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2030,Retail - Supermarket,170.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2031,Retail - Supermarket,164.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2032,Retail - Supermarket,158.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2033,Retail - Supermarket,152.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2034,Retail - Supermarket,146.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2035,Retail - Supermarket,140.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2036,Retail - Supermarket,134.0,Retail Super M.,kWh/m²GIA/yr,newbuild
